,ISIN,COMPANY_CODE,SECTOR_CODE,REPORTING_YEAR,N_SDG1,N_SDG2,N_SDG3,N_SDG4,N_SDG5,N_SDG6,N_SDG7,N_SDG8,N_SDG9,N_SDG10,N_SDG11,N_SDG12,N_SDG13,N_SDG14,N_SDG15,N_SDG16,N_SDG17,Market Value
13699,CNE000000DC6,HUAXIN00001,CEME,2022,0,0,-46000000,0,0,-1200000,0,0,0,0,-60000000,-21000000,-680000000,-1100000,-340000,0,0,"$1,237.18 "
13706,KYG245241032,COUNTR00002,RESS,2022,0,0,-9100000,0,0,-7800000,0,-290000000,-150000000,0,-350000,-230000,-28000000,-220000,-2600000,0,0,"$3,425.45 "
13713,SG1H97877952,SEMBCO00002,INDE,2022,0,0,-2700000,0,0,-440000,0,-96000000,-96000000,0,-790000,-520000,-5200000,-410000,-110000,0,0,"$5,727.41 "
13720,IT0000072170,FINECO00001,FINS,2022,0,0,-25000,0,0,-12000,0,0,0,0,-5400,-5300,-89000,-3600,-2900,0,0,"$9,969.91 "
13727,MXP225611567,CEMEXC00001,CEME,2022,0,0,-310000000,0,0,-23000000,0,0,0,0,-370000000,-130000000,-2500000000,-11000000,-5000000,0,0,"$9,044.88 "
13734,GRS003003035,NATION00015,FINS,2022,0,0,-65000,0,0,-35000,0,0,0,0,-13000,-13000,-1100000,-8500,-9000,0,0,"$2,855.16 "
13741,US15189T1079,CENTER00001,GENE,2022,0,0,-38000000,0,0,-7900000,0,0,0,0,-40000000,-15000000,-280000000,-1200000,-2300000,0,0,"$19,100.59 "
13748,CA9528451052,WESTFR00001,WPMA,2022,0,0,-290000000,0,0,-98000000,0,0,0,0,-140000000,-86000000,-220000000,-39000000,-20000000,0,0,"$4,237.22 "
13755,CNE100000BJ4,ZHEJIA00005,EEMA,2022,0,0,-410000,0,0,-140000,0,0,0,0,-4100,-29000,-2300000,-53000,-47000,0,0,"$5,649.62 "
13762,CNE1000022H9,ANHUIY00001,BEVM,2022,0,0,-350000,0,0,-200000,0,0,0,0,-31000,-31000,-2500000,-31000,-64000,0,0,"$1,577.29 "
13769,CNE100001CY9,ZHONGJ00001,EEMA,2022,0,0,-300000,0,0,-110000,0,0,0,0,-46000,-53000,-4800000,-46000,-28000,0,0,"$4,512.24 "
13776,CNE000001HH4,HUAIBE00001,COAL,2022,0,0,-130000000,0,0,-52000000,0,0,0,0,-33000000,-32000000,-89000000,-21000000,-11000000,0,0,"$1,467.27 "
13783,US8793601050,TELEDY00001,EEMA,2022,0,0,-2100000,0,0,-770000,0,0,0,0,-440000,-460000,-9400000,-340000,-160000,0,0,"$20,432.48 "
13790,DE0005785604,FRESEN00002,HOSP,2022,0,0,-18000000,0,0,-2900000,0,0,0,0,-550000,-1900000,-84000000,-3200000,-850000,0,0,"$11,691.18 "
13797,CNE100003MS6,NINGBO00010,PERF,2022,0,0,-17000000,0,0,-4000000,0,0,0,0,-1900000,-2600000,-120000000,-2900000,-980000,0,0,"$2,578.62 "
13804,CNE100000510,SHANGH00030,EEMA,2022,0,0,-76000,0,0,-35000,0,0,0,0,-17000,-17000,-1100000,-11000,-7900,0,0,$982.03 
13811,CNE100004PL2,SHANGH00030,EEMA,2022,0,0,-76000,0,0,-35000,0,0,0,0,-17000,-17000,-1100000,-11000,-7900,0,0,"$1,745.52 "
13818,TW0008046004,NANYAP00003,EEMA,2022,0,0,-1200000,0,0,-1000000,0,0,0,0,-7800,-23000,-24000000,-36000,-330000,0,0,"$1,834.64 "
13825,JP3951600000,UNICHA00001,WASH,2022,0,0,-11000000,0,0,-4500000,0,0,0,0,-2600000,-2600000,-12000000,-1800000,-940000,0,0,"$14,176.76 "
13832,CNE000000V89,SHANGI00001,TRSA,2022,0,0,-1800000,0,0,-540000,0,-230000000,-110000000,0,-230000000,-470000,-5300000,-240000,-110000,0,0,"$6,819.25 "
13839,KR7008770000,HOTELS00001,FOOD,2022,0,0,-1100000,0,0,-450000,0,-31000000,-15000000,0,-330000,-280000,-10000000,-170000,-96000,0,0,"$1,958.18 "
13846,CNE100002WP3,NANJIN00001,PILL,2022,0,0,-370000,0,0,-110000,0,0,0,0,-62000,-72000,-760000,-63000,-25000,0,0,"$1,030.73 "
13853,BRCSANACNOR6,COSANO00001,CONG,2022,0,0,-24000,0,0,0,0,-15000000,-7600000,0,-37000,-12000,-72000000,0,0,0,0,"$3,855.31 "
13860,KYG960071028,WHGROU00001,DASP,2022,0,0,-24000000,0,0,-12000000,0,0,0,0,-1500000,-2300000,-150000000,-2700000,-3500000,0,0,"$4,633.75 "
13867,KYG2816P1072,DONGYU00001,PERF,2022,0,0,-47000000,0,0,-11000000,0,0,0,0,-45000000,-18000000,-220000000,-2500000,-2700000,0,0,"$1,542.54 "
13874,CNE100002R65,ZHESHA00001,FINS,2022,0,0,-110000,0,0,-74000,0,0,0,0,-15000,-15000,-590000,-10000,-21000,0,0,"$2,416.93 "
13881,BRBBASACNOR3,BANCOB00005,FINS,2022,0,0,-91000,0,0,-34000,0,0,0,0,-47000,-20000,-7500000,-6000,-11000,0,0,"$12,576.51 "
13888,FR0000121204,WENDEL00001,FINS,2022,0,0,-220000,0,0,-100000,0,0,0,0,-51000,-51000,-2900000,-34000,-24000,0,0,"$2,717.28 "
13895,KR7012330007,HYUNDA00005,TRAN,2022,0,0,-23000000,0,0,-9600000,0,0,0,0,-5800000,-5800000,-33000000,-3900000,-1900000,0,0,"$10,541.65 "
13902,CNE0000013M0,GUANGZ00012,FINS,2022,0,0,-990,0,0,-840,0,0,0,0,-200,-68,-28000,-4,-280,0,0,"$2,051.39 "
13909,CNE100002BR3,YUNNAN00002,PLMA,2022,0,0,-920000,0,0,-800000,0,0,0,0,-68000,-38000,-59000000,-20000,-260000,0,0,"$6,966.35 "
13916,QA000A0KD6L1,QATARG00001,OGES,2022,0,0,-130000000,0,0,-1400000,0,0,0,0,-200000000,-67000000,-240000000,-530000,-320000,0,0,"$2,809.57 "
13923,DE000SYM9999,SYMRIS00001,WASH,2022,0,0,-5500000,0,0,-2200000,0,0,0,0,-980000,-1100000,-22000000,-860000,-510000,0,0,"$15,363.32 "
13930,CNE1000033T1,SANGFO00001,ITIS,2022,0,0,-87000,0,0,-65000,0,0,0,0,-9500,-8700,-1600000,-5800,-20000,0,0,"$4,178.86 "
13937,SG9999015267,BOCAVI00001,FINS,2022,0,0,-46000,0,0,-19000,0,0,0,0,-11000,-11000,-34000,-7400,-4100,0,0,"$1,643.63 "
13944,CNE100000PG0,JIANGS00016,PERF,2022,0,0,-2400000,0,0,-550000,0,0,0,0,-260000,-360000,-17000000,-410000,-140000,0,0,"$1,992.88 "
13951,US46591M1099,JOYYIN00001,ITIS,2022,0,0,-120000,0,0,-71000,0,0,0,0,-21000,-19000,-3500000,-12000,-20000,0,0,"$2,089.87 "
13958,BMG4587L1090,HONGKO00003,RESS,2022,0,0,-420000,0,0,-200000,0,0,0,0,-71000,-71000,-8300000,-55000,-52000,0,0,"$4,528.83 "
13965,TW0001301000,FORMOS00002,PLMA,2022,0,0,-75000000,0,0,-34000000,0,0,0,0,-18000000,-17000000,-670000000,-11000000,-8000000,0,0,"$16,373.64 "
13972,KR7032640005,LGUPLU00001,ITIS,2022,0,0,-800000,0,0,-350000,0,0,0,0,-210000,-200000,-54000000,-130000,-74000,0,0,"$2,212.11 "
13979,HK0003000038,HONGKO00002,OGES,2022,0,0,-6200000,0,0,-820000,0,0,0,0,-5000000,-2000000,-82000000,-470000,-230000,0,0,"$9,467.17 "
13986,MYL3816OO005,MISCBH00001,TRSA,2022,0,0,-10000000,0,0,-420000,0,0,0,0,-14000000,-4900000,-250000000,-170000,-87000,0,0,"$2,324.06 "
13993,BE0003717312,SOFINA00001,FINS,2022,0,0,-40000,0,0,-17000,0,-1500000000,-490000000,0,-10000,-10000,-26000,-6600,-3300,0,0,"$3,482.65 "
